,sexo,idade,habilit,p1,p2,p3,p4,p5a,p5b,p5c,p5d,p5e,p5f,p5g,p5h,p5i,p5j,p5k,pb,pc,pd,pe
15,masculino,25.0,até ensino secundário,Expresso,195.0,Ler algumas secções,10.0,3,4,5,5,4,5,5,4,5,3,3,diários e semanários,12.0,230.0,outro
16,masculino,34.0,até ensino secundário,Expresso,75.0,Ler algumas secções,7.0,2,2,4,4,4,5,5,3,5,4,3,diários e semanários,14.0,90.0,diário de notícias
17,masculino,,até ensino secundário,Expresso,60.0,Ler tudo com atenção,7.0,3,4,4,4,5,5,5,4,5,3,3,diários e semanários,6.0,70.0,diário de notícias
18,masculino,33.0,até ensino secundário,Expresso,120.0,Ler tudo com atenção,7.0,4,4,5,5,5,5,4,5,5,3,4,diários e semanários,7.0,140.0,outro
19,masculino,,até ensino secundário,Expresso,75.0,Ler algumas secções,7.0,3,3,4,4,4,4,4,4,4,3,1,diários e semanários,7.0,90.0,outro
20,masculino,40.0,até ensino secundário,Expresso,150.0,Ler tudo com atenção,6.0,2,3,5,5,5,4,5,5,5,5,5,diários e semanários,11.0,180.0,diário de notícias
21,masculino,32.0,até ensino secundário,Expresso,120.0,Ler algumas secções,6.0,2,1,4,5,4,4,5,4,5,5,4,diários e semanários,9.0,140.0,diário de notícias
22,masculino,29.0,até ensino secundário,Expresso,180.0,Ler tudo com atenção,6.0,4,3,4,4,3,5,5,5,4,4,4,diários e semanários,13.0,210.0,correio da manhã
23,masculino,,até ensino secundário,Expresso,75.0,Ler tudo com atenção,6.0,3,4,4,5,4,5,5,4,5,4,5,diários e semanários,16.0,90.0,correio da manhã
24,masculino,32.0,até ensino secundário,Expresso,60.0,Ler algumas secções,6.0,3,3,5,4,5,5,4,3,4,3,3,diários e semanários,14.0,70.0,correio da manhã
25,masculino,28.0,até ensino secundário,Expresso,105.0,Ler tudo com atenção,6.0,3,4,4,5,3,4,4,3,3,2,2,diários e semanários,11.0,120.0,correio da manhã
26,masculino,45.0,até ensino secundário,Expresso,120.0,Ler algumas secções,5.0,2,1,4,4,4,4,5,4,5,4,4,diários e semanários,7.0,100.0,público
27,masculino,39.0,até ensino secundário,Expresso,165.0,Ler tudo com atenção,5.0,4,4,5,5,4,5,5,5,5,5,3,diários e semanários,7.0,200.0,público
28,masculino,28.0,até ensino secundário,Expresso,150.0,Ler tudo com atenção,5.0,2,1,4,3,5,5,3,4,4,3,2,diários e semanários,4.0,180.0,diário de notícias
29,masculino,39.0,até ensino secundário,Expresso,165.0,Ler tudo com atenção,4.0,3,4,4,4,3,5,4,3,5,4,3,diários e semanários,7.0,180.0,diário de notícias
30,masculino,24.0,até ensino secundário,Expresso,135.0,Ler algumas secções,4.0,2,3,5,5,5,5,4,5,5,5,5,diários e semanários,7.0,160.0,diário de notícias
31,masculino,24.0,ensino médio e superior,Expresso,135.0,Ler tudo com atenção,16.0,2,4,4,4,3,5,5,5,5,4,3,só semanários,,,
32,masculino,45.0,ensino médio e superior,Expresso,120.0,Ler algumas secções,15.0,3,4,5,5,5,5,5,5,5,5,2,diários e semanários,1.0,140.0,outro
33,masculino,32.0,ensino médio e superior,Expresso,120.0,Ler tudo com atenção,15.0,2,3,4,3,1,2,3,4,4,3,1,diários e semanários,3.0,140.0,diário de notícias
34,masculino,25.0,ensino médio e superior,Expresso,195.0,Ler tudo com atenção,12.0,3,4,5,5,5,5,5,5,5,5,5,diários e semanários,5.0,230.0,a capital
35,masculino,44.0,ensino médio e superior,Expresso,90.0,Ler tudo com atenção,12.0,2,3,5,4,3,3,3,3,4,3,3,diários e semanários,7.0,110.0,a capital
36,masculino,32.0,ensino médio e superior,Expresso,60.0,Ler tudo com atenção,10.0,4,4,5,5,5,4,4,5,5,4,4,diários e semanários,7.0,80.0,a capital
37,masculino,40.0,ensino médio e superior,Expresso,150.0,Ler tudo com atenção,10.0,4,4,5,5,5,5,5,5,5,5,5,diários e semanários,6.0,180.0,diário de notícias
38,masculino,30.0,ensino médio e superior,Expresso,180.0,Ler tudo com atenção,10.0,3,4,4,5,4,5,4,4,5,4,1,diários e semanários,6.0,200.0,diário de notícias
