"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
19323642,1476,135345301,"Entire home/apt",NA,"Amsterdam",NA,"Oud Oost",0,0,4,3,NA,264,NA,"19th authentic double floor + roof terrace","2017-07-23 02:58:42.908289",52.356749,4.909828,"0101000020E6100000BBF083F3A9A31340BBF083F3A92D4A40"
12462276,1476,52546979,"Entire home/apt",NA,"Amsterdam",NA,"Oud Noord",11,4.5,7,3,NA,330,NA,"SailingYacht | 6 pers","2017-07-23 05:56:43.587775",52.382674,4.906327,"0101000020E61000005BED612F14A01340C7832D76FB304A40"
15167502,1476,102868071,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",5,5,4,2,NA,250,NA,"Spacious & warm family home in trendy Oud-West","2017-07-23 03:10:53.625799",52.36613,4.875767,"0101000020E610000004AA7F10C9801340D00A0C59DD2E4A40"
3833479,1476,3592822,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",7,5,2,1,NA,122,NA,"2nd Floor Pijp district apartment","2017-07-22 17:57:10.551354",52.353348,4.894363,"0101000020E61000008202EFE4D3931340B20DDC813A2D4A40"
18499975,1476,6851849,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",3,5,3,1,NA,204,NA,"Luxurious city apartment near Rijksmuseum!","2017-07-23 02:36:03.094181",52.362672,4.888083,"0101000020E6100000C68844A1658D134064963D096C2E4A40"
18372762,1476,50133636,"Entire home/apt",NA,"Amsterdam",NA,"Osdorp",9,5,4,3,NA,288,NA,"Best Deal! Amsterdam Apartment Great Location","2017-07-23 04:00:13.692227",52.355529,4.811035,"0101000020E61000003CA583F57F3E1340C9E369F9812D4A40"
8209825,1476,38552557,"Entire home/apt",NA,"Amsterdam",NA,"Centrum West",13,4.5,3,1,NA,228,NA,"Stylish Jordan House Noordermarket","2017-07-23 03:01:24.523995",52.380439,4.884947,"0101000020E6100000F4C5DE8B2F8A1340BD8FA339B2304A40"
19975190,1476,141314623,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",0,0,2,1,NA,180,NA,"Canal Dream Apartment in the Center of Amsterdam","2017-07-22 22:24:59.364548",52.363203,4.896128,"0101000020E61000009B1E1494A29513409067976F7D2E4A40"
3402833,1476,17161065,"Entire home/apt",NA,"Amsterdam",NA,"Oostelijk Havengebied / Indische Buurt",6,5,4,4,NA,359,NA,"Great house with a magnificent view nearby centre","2017-07-23 05:55:02.519109",52.37432,4.948909,"0101000020E61000002F8507CDAECB13408E1EBFB7E92F4A40"
7082711,1476,8063023,"Entire home/apt",NA,"Amsterdam",NA,"De Pijp / Rivierenbuurt",5,5,2,1,NA,144,NA,"Nice apt, Great location & balcony!","2017-07-22 20:10:54.893202",52.354157,4.890676,"0101000020E610000011548D5E0D90134022533E04552D4A40"
19045363,1476,55788542,"Entire home/apt",NA,"Amsterdam",NA,"Oostelijk Havengebied / Indische Buurt",0,0,2,1,NA,126,NA,"Lovely apartment in cool area (close to centre)","2017-07-22 20:00:27.625055",52.362198,4.93524,"0101000020E6100000E8A4F78DAFBD13409B560A815C2E4A40"
17631554,1476,118987928,"Entire home/apt",NA,"Amsterdam",NA,"Buitenveldert / Zuidas",3,4.5,3,2,NA,168,NA,"City & Nature combined! Very close to ZUIDAS & RAI","2017-07-23 00:49:07.139257",52.32831,4.87087,"0101000020E610000024456458C57B13409279E40F062A4A40"
10538029,1476,16575399,"Private room",NA,"Amsterdam",NA,"Noord Oost",61,5,4,2,NA,108,NA,"Cottage in country side Amsterdam","2017-07-22 16:26:31.307105",52.410793,4.961214,"0101000020E610000052D4997B48D813407E3672DD94344A40"
12514682,1476,67777772,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",1,0,2,3,NA,182,NA,"New renovated spacious and light house city centre","2017-07-22 22:16:35.233634",52.364829,4.9073,"0101000020E6100000A9A44E4013A11340F2D077B7B22E4A40"
15198680,1476,96515697,"Private room",NA,"Amsterdam",NA,"De Baarsjes / Oud West",15,5,2,1,NA,110,NA,"Cool Cozy  2person studio in Oud-west (Vondelpark)","2017-07-22 16:30:01.822224",52.362569,4.864188,"0101000020E6100000F261F6B2ED7413408FC536A9682E4A40"
3465890,1476,17461928,"Entire home/apt",NA,"Amsterdam",NA,"Oud Noord",39,4.5,4,2,NA,180,NA,"Spacious whole apartment with vide","2017-07-22 22:19:29.596978",52.391587,4.912179,"0101000020E61000005664744012A61340F644D7851F324A40"
11643273,1476,34675899,"Entire home/apt",NA,"Amsterdam",NA,"Ijburg / Eiland Zeeburg",27,4.5,2,0,NA,102,NA,"Luxurious quiet waterfront place NY","2017-07-22 17:34:30.366637",52.346321,5.001348,"0101000020E6100000F8A8BF5E6101144082751C3F542C4A40"
6876570,1476,26453644,"Entire home/apt",NA,"Amsterdam",NA,"Centrum Oost",3,4.5,2,1,NA,234,NA,"charming houseboat in Amsterdam","2017-07-23 02:59:43.856616",52.36522,4.900348,"0101000020E610000077137CD3F49913402DEC6987BF2E4A40"
16879680,1476,4189952,"Entire home/apt",NA,"Amsterdam",NA,"De Baarsjes / Oud West",1,0,2,1,NA,180,NA,"Scandinavian Style Design Loft next to Vondelpark!","2017-07-22 23:13:44.182710",52.361952,4.858941,"0101000020E61000002EC6C03A8E6F1340645C7171542E4A40"
